Comment,Designator,Footprint,LCSC,Quantity
D,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D3,D4,D5,D6,D7,D8,D9",Diode_SMD,C2099,20
SW_PUSH,"SW1,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW2,SW20,SW3,SW4,SW5,SW6,SW7,SW8,SW9",Choc_Hotswap_1L,C5333465,20
BATT,BT1,JST_S2B-PH-SM4-TB,,1
SW_SPDT,SW21,MSK-12C02,,1
~,U1,XIAO_nRF52840_wBAT_wNFC_1,,1
~,J1,pmw3610_connector,,1
