Comment,Designator,Footprint,LCSC,Quantity
BATT,B1,JST_SH_SM02B-SRSS-TB,C160402,1
D,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D3,D4,D5,D6,D7,D8,D9",Diode_SMD,C2099,22
