Comment,Designator,Footprint,LCSC,Quantity
BATT,B1,JST_SH_SM02B-SRSS-TB,C160402,1
D,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D3,D4,D5,D6,D7,D8,D9",Diode_SMD,C2099,22
SW_PUSH,"SW1,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW2,SW20,SW22,SW3,SW4,SW5,SW6,SW7,SW8,SW9",SW_Choc_v2,C5333465,21
SW_SPDT,SW24,TGSW_MSK-12D19,C9900027986,1
