Comment,Designator,Footprint,LCSC,Quantity
 100n (X7R),C5,C_0603_1608Metric,C19666,1
 10n (X7R),C7,C_0603_1608Metric,C19666,1
 10u (X7R),C6,C_0603_1608Metric,C19666,1
100n,"C3,C8",C_0603_1608Metric,C19666,2
10n,C4,C_0603_1608Metric,C19666,1
1u,C1,C_0603_1608Metric,C14663,1
1u,C2,C_0603_1608Metric,C15849,1
2M,R1,R_0603_1608Metric,C26102,1
3.3u/25V,C9,C_0603_1608Metric,C19666,1
MCP1700T-1802E/TT,U1,SOT-23,C20627192,1
